id,source,lang-source,target,lang-target,author,license,sme-reviewed,premium
d5731b48-f233-44c5-884a-d47b3ae3fc33,Ministerie van Algemene Zaken,nl-nl,Ministère des Affaires Générales,fr-fr,Rijksoverheid,CC0,True,False
4d3001cc-7417-440e-b7b6-7129a854e46d,Ministerie van Buitenlandse Zaken,nl-nl,Ministère des Affaires étrangères,fr-fr,Rijksoverheid,CC0,True,False
44528659-ce6b-402b-b6ae-25a649cc2922,Ministerie van Justitie en Veiligheid,nl-nl,Ministère de la Justice et de la Sécurité,fr-fr,Rijksoverheid,CC0,True,False
b963c210-85ae-473e-b060-a3335dfa4a44,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,nl-nl,Ministère de l'Intérieur et des Relations au sein du Royaume,fr-fr,Rijksoverheid,CC0,True,False
10e6efa4-cfc0-4f61-a1e5-e9d57304cd38,"Ministerie van Onderwijs, Cultuur en Wetenschap",nl-nl,"Ministère de l'Éducation, de la Culture et des Sciences",fr-fr,Rijksoverheid,CC0,True,False
bdc4cdf1-bc5b-494f-9cfd-0fcc970f3e5d,Ministerie van Financiën,nl-nl,Ministère des Finances,fr-fr,Rijksoverheid,CC0,True,False
de9ebe0e-8dbd-4770-8d88-19a7f8eba718,Ministerie van Defensie,nl-nl,Ministère de la Défense,fr-fr,Rijksoverheid,CC0,True,False
8cc44b7b-624b-491d-b767-7ad541c87ca2,Ministerie van Infrastructuur en Waterstaat,nl-nl,Ministère de l’Infrastructure et de la Gestion de l’eau,fr-fr,Rijksoverheid,CC0,True,False
ce12437d-6a34-4f89-b408-c049bc13273a,Ministerie van Economische Zaken,nl-nl,Ministère des Affaires économiques,fr-fr,Rijksoverheid,CC0,True,False
35fe9435-71cc-455a-b505-52a8684f6b95,"Ministerie van Landbouw, Visserij, Voedselzekerheid en Natuur",nl-nl,"Ministère de l'Agriculture, de la Pêche, de la Sécurité alimentaire et de la Nature",fr-fr,Rijksoverheid,CC0,True,False
9dc5005c-3fc4-4a34-b18f-3a7a5b5f63a1,Ministerie van Sociale Zaken en Werkgelegenheid,nl-nl,Ministère des Affaires Sociales et de l'Emploi,fr-fr,Rijksoverheid,CC0,True,False
e466b7d6-bea9-4676-8859-a360d9067072,"Ministerie van Volksgezondheid, Welzijn en Sport",nl-nl,"Ministère de la Santé, du Bien-être et des Sports",fr-fr,Rijksoverheid,CC0,True,False
ac54c881-a1f4-4752-a582-dc11a78b6586,Ministerie van Asiel en Migratie,nl-nl,Ministère de l’Asile et des Migrations,fr-fr,Rijksoverheid,CC0,True,False
0d6f8891-3efb-4ad3-934f-bbc9ceafa6bf,Ministerie van Klimaat en Groene Groei,nl-nl,Ministère du Climat et de la Croissance verte,fr-fr,Rijksoverheid,CC0,True,False
c77c3bbc-f144-4b4b-a0b8-d031eab02361,Ministerie van Volkshuisvesting en Ruimtelijke Ordening,nl-nl,Ministère du Logement et de l’Aménagement du territoire,fr-fr,Rijksoverheid,CC0,True,False
90521ce2-25de-4d7d-b58e-65a18d308266,Minister-president,nl-nl,Premier ministre,fr-fr,Rijksoverheid,CC0,True,False
ca33587c-a800-4b96-8ee2-0a5a82fa28f0,Minister voor Asiel en Migratie,nl-nl,Ministre déléguée à l’Asile et aux Migrations,fr-fr,Rijksoverheid,CC0,True,False
